TraceName,ExpName,ipc,precision,recall,Filter
709.cactus_r-shifted_gauge_wave-26B,bw1600_xpt,0.82484,99.2,46.1,1
709.cactus_r-shifted_gauge_wave-26B,bw1600_xpt_pythia,0.88089,78.91,7.55,1
709.cactus_r-shifted_gauge_wave-26B,bw3200_nopf,0.81991,0,0,1
709.cactus_r-shifted_gauge_wave-26B,bw3200_pythia,0.88586,0,0,1
709.cactus_r-shifted_gauge_wave-26B,bw3200_normal,0.83287,99.06,98.61,1
709.cactus_r-shifted_gauge_wave-26B,bw3200_normal_pythia,0.88673,87.46,57.49,1
709.cactus_r-shifted_gauge_wave-26B,bw3200_xpt,0.8262,99.2,46.1,1
709.cactus_r-shifted_gauge_wave-26B,bw3200_xpt_pythia,0.88576,83.94,7.5,1
709.cactus_r-shifted_gauge_wave-26B,bw6400_nopf,0.82,0,0,1
709.cactus_r-shifted_gauge_wave-26B,bw6400_pythia,0.887,0,0,1
709.cactus_r-shifted_gauge_wave-26B,bw6400_normal,0.8331,98.94,98.46,1
709.cactus_r-shifted_gauge_wave-26B,bw6400_normal_pythia,0.88763,87.24,61.83,1
709.cactus_r-shifted_gauge_wave-26B,bw6400_xpt,0.82634,99.2,46.1,1
709.cactus_r-shifted_gauge_wave-26B,bw6400_xpt_pythia,0.88809,89.26,7.44,1
709.cactus_r-shifted_gauge_wave-27B,bw200_nopf,0.08377,0,0,1
709.cactus_r-shifted_gauge_wave-27B,bw200_pythia,0.08302,0,0,1
709.cactus_r-shifted_gauge_wave-27B,bw200_normal,0.08378,99.82,99.76,1
709.cactus_r-shifted_gauge_wave-27B,bw200_normal_pythia,0.08182,89.78,72.47,1
709.cactus_r-shifted_gauge_wave-27B,bw200_xpt,0.08377,99.85,46.26,1
709.cactus_r-shifted_gauge_wave-27B,bw200_xpt_pythia,0.08141,46.34,8.49,1
709.cactus_r-shifted_gauge_wave-27B,bw400_nopf,0.14659,0,0,1
709.cactus_r-shifted_gauge_wave-27B,bw400_pythia,0.14642,0,0,1
709.cactus_r-shifted_gauge_wave-27B,bw400_normal,0.14668,99.82,99.76,1
709.cactus_r-shifted_gauge_wave-27B,bw400_normal_pythia,0.14508,94.8,82.76,1
709.cactus_r-shifted_gauge_wave-27B,bw400_xpt,0.14655,99.85,46.26,1
709.cactus_r-shifted_gauge_wave-27B,bw400_xpt_pythia,0.14401,72.1,18.73,1
709.cactus_r-shifted_gauge_wave-27B,bw800_nopf,0.21654,0,0,1
709.cactus_r-shifted_gauge_wave-27B,bw800_pythia,0.22236,0,0,1
709.cactus_r-shifted_gauge_wave-27B,bw800_normal,0.21774,99.82,99.76,1
709.cactus_r-shifted_gauge_wave-27B,bw800_normal_pythia,0.22076,94.21,77.43,1
709.cactus_r-shifted_gauge_wave-27B,bw800_xpt,0.21671,99.85,46.24,1
709.cactus_r-shifted_gauge_wave-27B,bw800_xpt_pythia,0.21803,44.08,11.49,1
709.cactus_r-shifted_gauge_wave-27B,bw1600_nopf,0.27463,0,0,1
709.cactus_r-shifted_gauge_wave-27B,bw1600_pythia,0.29099,0,0,1
709.cactus_r-shifted_gauge_wave-27B,bw1600_normal,0.27731,99.82,99.76,1
