TraceName,ExpName,ipc,precision,recall,Filter
737.gmsh_r-mediterranean-149B,bw3200_nopf,2.15746,0,0,1
737.gmsh_r-mediterranean-149B,bw3200_pythia,2.21421,0,0,1
737.gmsh_r-mediterranean-149B,bw3200_normal,2.17363,99.75,99.24,1
737.gmsh_r-mediterranean-149B,bw3200_normal_pythia,2.22721,97.89,96.51,1
737.gmsh_r-mediterranean-149B,bw3200_xpt,2.16785,99.87,44.63,1
737.gmsh_r-mediterranean-149B,bw3200_xpt_pythia,2.19631,98.0,41.72,1
737.gmsh_r-mediterranean-160B,bw3200_nopf,2.20165,0,0,1
737.gmsh_r-mediterranean-160B,bw3200_pythia,2.24913,0,0,1
737.gmsh_r-mediterranean-160B,bw3200_normal,2.22206,99.55,99.01,1
737.gmsh_r-mediterranean-160B,bw3200_normal_pythia,2.25071,96.5,94.56,1
737.gmsh_r-mediterranean-160B,bw3200_xpt,2.21797,99.74,44.35,1
737.gmsh_r-mediterranean-160B,bw3200_xpt_pythia,2.25159,97.47,39.93,1
737.gmsh_r-p19-70B,bw3200_nopf,0.87308,0,0,1
737.gmsh_r-p19-70B,bw3200_pythia,0.89846,0,0,1
737.gmsh_r-p19-70B,bw3200_normal,0.90312,83.72,88.76,1
737.gmsh_r-p19-70B,bw3200_normal_pythia,0.92295,80.05,77.49,1
737.gmsh_r-p19-70B,bw3200_xpt,0.87489,100.0,2.38,1
737.gmsh_r-p19-70B,bw3200_xpt_pythia,0.89846,45.05,0.0,1
737.gmsh_r-projection-6B,bw3200_nopf,0.45063,0,0,1
737.gmsh_r-projection-6B,bw3200_pythia,0.45624,0,0,1
737.gmsh_r-projection-6B,bw3200_normal,0.4877,97.93,97.28,1
737.gmsh_r-projection-6B,bw3200_normal_pythia,0.46386,95.48,96.03,1
737.gmsh_r-projection-6B,bw3200_xpt,0.45495,99.42,4.86,1
737.gmsh_r-projection-6B,bw3200_xpt_pythia,0.45593,92.36,0.04,1
737.gmsh_r-spec_hxt-26B,bw3200_nopf,0.45598,0,0,1
737.gmsh_r-spec_hxt-26B,bw3200_pythia,0.48623,0,0,1
737.gmsh_r-spec_hxt-26B,bw3200_normal,0.48794,97.49,99.53,1
737.gmsh_r-spec_hxt-26B,bw3200_normal_pythia,0.51553,92.87,91.74,1
737.gmsh_r-spec_hxt-26B,bw3200_xpt,0.45863,99.63,8.45,1
737.gmsh_r-spec_hxt-26B,bw3200_xpt_pythia,0.49129,32.26,0.25,1
737.gmsh_r-spec_hxt-62B,bw3200_nopf,1.41912,0,0,1
737.gmsh_r-spec_hxt-62B,bw3200_pythia,1.51415,0,0,1
737.gmsh_r-spec_hxt-62B,bw3200_normal,1.50542,98.18,99.7,1
737.gmsh_r-spec_hxt-62B,bw3200_normal_pythia,1.52134,78.57,68.0,1
737.gmsh_r-spec_hxt-62B,bw3200_xpt,1.45103,99.24,31.85,1
737.gmsh_r-spec_hxt-62B,bw3200_xpt_pythia,1.51351,67.47,7.7,1
737.gmsh_r-torus-33B,bw3200_nopf,0.3469,0,0,1
737.gmsh_r-torus-33B,bw3200_pythia,0.35085,0,0,1
737.gmsh_r-torus-33B,bw3200_normal,0.37835,89.09,97.09,1
737.gmsh_r-torus-33B,bw3200_normal_pythia,0.38084,87.43,94.69,1
737.gmsh_r-torus-33B,bw3200_xpt,0.3472,98.6,1.93,1
737.gmsh_r-torus-33B,bw3200_xpt_pythia,0.35005,72.54,0.08,1
737.gmsh_r-torus-74B,bw3200_nopf,0.81957,0,0,1
737.gmsh_r-torus-74B,bw3200_pythia,0.83855,0,0,1
737.gmsh_r-torus-74B,bw3200_normal,0.84641,85.55,89.17,1
737.gmsh_r-torus-74B,bw3200_normal_pythia,0.8628,83.21,83.34,1
737.gmsh_r-torus-74B,bw3200_xpt,0.82124,100.0,2.15,1
737.gmsh_r-torus-74B,bw3200_xpt_pythia,0.83855,39.02,0.0,1
749.fotonik3d_r-default-128B,bw3200_nopf,0.39598,0,0,1
749.fotonik3d_r-default-128B,bw3200_pythia,0.41502,0,0,1
749.fotonik3d_r-default-128B,bw3200_normal,0.39992,99.36,99.64,1
749.fotonik3d_r-default-128B,bw3200_normal_pythia,0.41191,94.37,90.4,1
