TraceName,ExpName,dram_read_reqs,Filter
749.fotonik3d_r-default-599B,bw3200_xpt_pythia,39701455,1
749.fotonik3d_r-default-599B,bw3200_normal,32928319,1
749.fotonik3d_r-default-599B,bw3200_normal_pythia,41218656,1
749.fotonik3d_r-default-651B,bw3200_nopf,27934004,1
749.fotonik3d_r-default-651B,bw3200_pythia,33942159,1
749.fotonik3d_r-default-651B,bw3200_xpt,27970749,1
749.fotonik3d_r-default-651B,bw3200_xpt_pythia,33928819,1
749.fotonik3d_r-default-651B,bw3200_normal,28178604,1
749.fotonik3d_r-default-651B,bw3200_normal_pythia,34886737,1
765.roms_r-benchmark2-871B,bw3200_nopf,16025820,1
765.roms_r-benchmark2-871B,bw3200_pythia,16846300,1
765.roms_r-benchmark2-871B,bw3200_xpt,16118020,1
765.roms_r-benchmark2-871B,bw3200_xpt_pythia,17274436,1
765.roms_r-benchmark2-871B,bw3200_normal,16075236,1
765.roms_r-benchmark2-871B,bw3200_normal_pythia,18195432,1
765.roms_r-benchmark2-900B,bw3200_nopf,16227664,1
765.roms_r-benchmark2-900B,bw3200_pythia,16956471,1
765.roms_r-benchmark2-900B,bw3200_xpt,16317786,1
765.roms_r-benchmark2-900B,bw3200_xpt_pythia,17388405,1
765.roms_r-benchmark2-900B,bw3200_normal,16278710,1
765.roms_r-benchmark2-900B,bw3200_normal_pythia,18231855,1
765.roms_r-benchmark2-985B,bw3200_nopf,42365816,1
765.roms_r-benchmark2-985B,bw3200_pythia,49597116,1
765.roms_r-benchmark2-985B,bw3200_xpt,43275696,1
765.roms_r-benchmark2-985B,bw3200_xpt_pythia,51523184,1
765.roms_r-benchmark2-985B,bw3200_normal,44005940,1
765.roms_r-benchmark2-985B,bw3200_normal_pythia,53320605,1
800.pot3d_s-pot3d_n1-1067B,bw3200_nopf,79376268,1
800.pot3d_s-pot3d_n1-1067B,bw3200_pythia,82944139,1
800.pot3d_s-pot3d_n1-1067B,bw3200_xpt,79407939,1
800.pot3d_s-pot3d_n1-1067B,bw3200_xpt_pythia,86752162,1
800.pot3d_s-pot3d_n1-1067B,bw3200_normal,79599986,1
800.pot3d_s-pot3d_n1-1067B,bw3200_normal_pythia,87805380,1
800.pot3d_s-pot3d_n1-1519B,bw3200_nopf,79890963,1
800.pot3d_s-pot3d_n1-1519B,bw3200_pythia,81137324,1
800.pot3d_s-pot3d_n1-1519B,bw3200_xpt,79902359,1
800.pot3d_s-pot3d_n1-1519B,bw3200_xpt_pythia,84679754,1
800.pot3d_s-pot3d_n1-1519B,bw3200_normal,80080651,1
800.pot3d_s-pot3d_n1-1519B,bw3200_normal_pythia,86410415,1
800.pot3d_s-pot3d_n1-2026B,bw3200_nopf,74966533,1
800.pot3d_s-pot3d_n1-2026B,bw3200_pythia,76538814,1
800.pot3d_s-pot3d_n1-2026B,bw3200_xpt,74976267,1
800.pot3d_s-pot3d_n1-2026B,bw3200_xpt_pythia,81618243,1
800.pot3d_s-pot3d_n1-2026B,bw3200_normal,75101866,1
800.pot3d_s-pot3d_n1-2026B,bw3200_normal_pythia,81177155,1
800.pot3d_s-pot3d_n1-2544B,bw3200_nopf,72559597,1
800.pot3d_s-pot3d_n1-2544B,bw3200_pythia,74848305,1
800.pot3d_s-pot3d_n1-2544B,bw3200_xpt,72568898,1
800.pot3d_s-pot3d_n1-2544B,bw3200_xpt_pythia,78201093,1
800.pot3d_s-pot3d_n1-2544B,bw3200_normal,72691677,1
800.pot3d_s-pot3d_n1-2544B,bw3200_normal_pythia,80464199,1
809.cactus_s-shifted_gauge_wave-1690B,bw3200_nopf,1548667,1
809.cactus_s-shifted_gauge_wave-1690B,bw3200_pythia,1493424,1
809.cactus_s-shifted_gauge_wave-1690B,bw3200_xpt,1548648,1
809.cactus_s-shifted_gauge_wave-1690B,bw3200_xpt_pythia,1493424,1
809.cactus_s-shifted_gauge_wave-1690B,bw3200_normal,1590320,1
809.cactus_s-shifted_gauge_wave-1690B,bw3200_normal_pythia,1509574,1
809.cactus_s-shifted_gauge_wave-202B,bw3200_nopf,1997279,1
809.cactus_s-shifted_gauge_wave-202B,bw3200_pythia,1966320,1
809.cactus_s-shifted_gauge_wave-202B,bw3200_xpt,2032046,1
809.cactus_s-shifted_gauge_wave-202B,bw3200_xpt_pythia,1963159,1
809.cactus_s-shifted_gauge_wave-202B,bw3200_normal,2032950,1
809.cactus_s-shifted_gauge_wave-202B,bw3200_normal_pythia,1980623,1
809.cactus_s-shifted_gauge_wave-6972B,bw3200_nopf,1567177,1
809.cactus_s-shifted_gauge_wave-6972B,bw3200_pythia,1514615,1
809.cactus_s-shifted_gauge_wave-6972B,bw3200_xpt,1567161,1
809.cactus_s-shifted_gauge_wave-6972B,bw3200_xpt_pythia,1514615,1
809.cactus_s-shifted_gauge_wave-6972B,bw3200_normal,1612234,1
809.cactus_s-shifted_gauge_wave-6972B,bw3200_normal_pythia,1527712,1
811.tealeaf_s-default-15369B,bw3200_nopf,8044312,1
811.tealeaf_s-default-15369B,bw3200_pythia,8044487,1
811.tealeaf_s-default-15369B,bw3200_xpt,8043976,1
811.tealeaf_s-default-15369B,bw3200_xpt_pythia,8113318,1
811.tealeaf_s-default-15369B,bw3200_normal,8043983,1
811.tealeaf_s-default-15369B,bw3200_normal_pythia,8182643,1
811.tealeaf_s-default-16461B,bw3200_nopf,7199860,1
811.tealeaf_s-default-16461B,bw3200_pythia,7206602,1
811.tealeaf_s-default-16461B,bw3200_xpt,7199340,1
811.tealeaf_s-default-16461B,bw3200_xpt_pythia,7220711,1
811.tealeaf_s-default-16461B,bw3200_normal,7199377,1
811.tealeaf_s-default-16461B,bw3200_normal_pythia,7275603,1
811.tealeaf_s-default-33315B,bw3200_nopf,7436474,1
